Production,Item number,Product name,Label,Quantity,Split,Delivery,Property,Comment,Site,Warehouse,Picking list status,Dispensing ticket status,Batch production record,Batch balancing status,Status
BO634573,14.0085.164.279,ALL-LAC PROBIOTIC PASTE 30 30 x 30 CC TUBES PER BOX,JP0,"6,000.00",,8/14/2026,INVENTORY,ALLJAPAN SO447252 8/20,KY,KY,,,,None,Released
BO636654-02,25.5396.067.002,RELI3VER 25 KG ALLTECH CARTON,999,500.00,500,8/17/2026,WHITE POWD,STOCK FOR BO636658,KY,KY,,,,None,Released
BO636845,02.0140.067.017,ALLZYME VEGPRO 25 KG BAG,US0,"2,000.00",1000,8/20/2026,SYSTEM-2,STOCK,KY,KY,,,,Enabled,Released
BO636975,02.0140.067.017,ALLZYME VEGPRO 25 KG BAG,US0,"2,000.00",,8/20/2026,SYSTEM-2,STOCK,KY,KY,,,,Enabled,Released
BO636981,02.1143.067.022,ALLZYME SSF (INTERNATIONAL) 25 KG BAG,GT0,"8,000.00",1000,8/20/2026,INVENTORY,ALLGUA SO448518 8/27,KY,KY,,,,None,Released
BO636670,29.3947.115.022,ALLBIND HD 22.7 KG BAG,US0,"2,724.00",908,8/21/2026,SYSTEM-1,STOCK,KY,KY,,,,None,Released
BO636902,36.3101.017.045,ALLTECH NUCLEUS BEEF - COW 1000 KG TOTE,CA0,"16,000.00",2000,8/24/2026,SYSTEM-2,ALLCAN SO448486 SHIPS 8/26 *QAL*,KY,KY,,,,Enabled,Released
BO636493,24.0177.067.017,ASPERGILLUS ORYZAE 25.0 KG BAG,US0,"1,000.00",1000,8/24/2026,SYSTEM-1,STOCK,KY,KY,,,,Enabled,Released
BO636779,24.4126.067.022,ALLTECH NVGEN PACK 25 KG BAG,PET,"2,000.00",1000,8/24/2026,SYSTEM-1,BARRETT AG SO448232 9/3,KY,KY,,,,None,Released
BO636777,08.4335.067.022,SELECT BAC 25 KG BAG,US0,"4,000.00",2000,8/24/2026,SYSTEM-2,STOCK,KY,KY,,,,Enabled,Released
BO636903,02.0140.017.045,ALLZYME VEGPRO 1000 KG TOTES,CA0,"3,000.00",2000,8/24/2026,SYSTEM-2,ALLCAN SO448486 SHIPS 8/26,KY,KY,,,,Enabled,Released
BO636826,13.5146.003.046,EGALIS ULTRA HC (40 X 227 GRAM POUCHES/CARTON),US0,18.16,18.16,8/24/2026,PREPACK,AKRANI SO444917 9/8,KY,KY,,,,None,Released
BO636807,03.5110.067.021,GUARDIAN 10  25 KG BAGS,US0,"4,000.00",500,8/24/2026,GUARDIAN,STOCK,KY,KY,,,,None,Released
BO636812,04.0407.067.112,MOLD-ZAP CITRUS POWDER 25 KG BAG (VIOLET),US0,"3,000.00",1000,8/24/2026,MZ BLENDER,STOCK,KY,KY,,,,None,Released
BO636555,06.0509.115.015,YEA-SACC 1026 FARM PAK 2X 22.7 KG BAG,US0,908.00,908,8/24/2026,SYSTEM-1,STOCK,KY,KY,,,,None,Released
BO636976,08.0623.067.078,MYCOSORB 25 KG SUPER BAG KELLY GREEN,GT0,"10,000.00",2000,8/24/2026,SYSTEM-2,ALLGUA SO448517/SO448518 8/27,KY,KY,,,,None,Released
BO636842,08.2330.067.022,INTEGRAL OA 25 KG BAG,US0,"2,000.00",2000,8/24/2026,SYSTEM-2,STOCK,KY,KY,,,,None,Released
BO636982,07.2301.067.087,ACTIGEN (INTERNATIONAL) 25 KG BAG,GT0,"6,000.00",2000,8/25/2026,SYSTEM-2,ALLGUA SO448517 8/27,KY,KY,,,,None,Released
BO636984,02.0140.067.084,ALLZYME VEGPRO 25 KG SUPER BAG,GT0,"10,000.00",2000,8/25/2026,SYSTEM-2,ALLGUA SO448517 8/27,KY,KY,,,,Enabled,Released
BO636535,09.2465.067.087,SEL-PLEX 3000 (INTERNATIONAL) 25 KG BAG,SA6,"2,000.00",1000,8/25/2026,SYSTEM-1,SAUFEE SO447679 9/1,KY,KY,,,,Enabled,Released
BO636888,24.4215.067.022,MLR-100 25 KG BAG,US0,"14,000.00",2000,8/25/2026,SYSTEM-2,STOCK,KY,KY,,,,None,Released
BO636818,24.4593.067.019,MYCOTECH 25 KG BAG,US0,"18,000.00",2000,8/25/2026,SYSTEM-2,STOCK,KY,KY,,,,Enabled,Released
BO636811,24.4767.067.022,INTEGRAL M 25 KG BAG,US0,"2,000.00",2000,8/25/2026,SYSTEM-2,STOCK,KY,KY,,,,None,Released
BO636550,39.5835.021.714,AGOLIN RUMINANT 11 KG STAND-UP POUCH,US0,"2,376.00",594,8/25/2026,WHITE POWD,STOCK,KY,KY,,,,None,Released
BO636983,24.0177.067.017,ASPERGILLUS ORYZAE 25.0 KG BAG,US0,"3,000.00",1000,8/26/2026,SYSTEM-1,STOCK,KY,KY,,,,Enabled,Released
BO636810,11.0420.067.017,DE-ODORASE 2X 25 KG BAG,US0,"1,000.00",1000,8/26/2026,SYSTEM-1,STOCK,KY,KY,,,,None,Released
BO636771,03.3200.067.011,ACID-AID 25KG BAG,US0,"1,000.00",500,8/26/2026,WHITE POWD,STOCK,KY,KY,,,,None,Released
BO636806,03.4418.067.021,GUARDIAN/GUARDICATE 25 KG BAG,US0,"2,000.00",500,8/26/2026,GUARDIAN,STOCK,KY,KY,,,,None,Released
BO636537,01.1141.067.087,BIOPLEX HI-FOUR 25 KG SUPER BAG,SA6,"12,000.00",2000,8/26/2026,SYSTEM-2,SAUFEE SO447679 9/1,KY,KY,,,,None,Released
BO636884,06.0442.067.017,SHOW RABBIT YEAST PREMIX 25 KG BAG,PURINA,125.00,125,8/26/2026,WHITE POWD,LANDMN SO448472 8/25,KY,KY,,,,Enabled,Released
BO636964,08.2733.067.089,INTEGRAL A+ 25 KGS BAG,US0,"19,000.00",2000,8/26/2026,SYSTEM-2,STOCK,KY,KY,,,,None,Released
BO636979,08.2733.067.089,INTEGRAL A+ 25 KGS BAG,US0,"19,000.00",2000,8/26/2026,SYSTEM-2,STOCK,KY,KY,,,,None,Released
BO636823,01.4787.067.022,GOOD 4 LIFE PAK - DOG WITHOUT COBALT 25 KG BAG (100196),US0,"16,000.00",2000,8/27/2026,SYSTEM-2,FREEPO STOCK QAL 375 GRAM COMP SAMPLE,KY,KY,,,,Enabled,Released
